Unique Name,Dust,
Original Sin,2257780,
Replica Cortex,2128180,
Headhunter,1782320,
Mageblood,1782320,
Defiance of Destiny,1782320,
Reefbane,1702480,
Replica Shroud of the Lightless,1583560,
Stasis Prison,1583560,
The Squire,1537440,
Rakiata's Dance,1537440,
Angler's Plait,1468580,
Starforge,1406980,
Voidforge,1406980,
Replica Kongor's Undying Rage,1406980,
Echoforge,1406980,
Lioneye's Glare,1366000,
Divinarius,1366000,
Essentia Sanguis,1366000,
Kingmaker,1366000,
Soul Taker,1326220,
Voltaxic Rift,1287580,
Atziri's Disfavour,1287580,
Replica Duskdawn,1287580,
Bloodseeker,1213680,
The Saviour,1213680,
Replica Tukohama's Fortress,1178320,
Kalandra's Touch,1144000,
Bino's Kitchen Knife,1078340,
Marohi Erqi,1046920,
The Winds of Fate,986820,
Hateforge,779000,
Uul-Netol's Vow,734300,
Soul Ascension,635280,
Nimis,635280,
Replica Headhunter,633400,
The Tower of Ordeals,564440,
Yoke of Suffering,472720,
Replica Poorjoy's Asylum,458940,
Manastorm,420000,
Replica Bated Breath,412000,
Stranglegasp,406560,
Replica Farrul's Fur,373160,
Kitava's Feast,362300,
Replica Nebulis,362300,
Malachai's Mark,351740,
Replica Windripper,341500,
Tidebreaker,331560,
Replica Eternity Shroud,331560,
Annihilation's Approach,331560,
Eternal Damnation,331560,
Duskdawn,321900,
The Brine Crown,312520,
Replica Atziri's Acuity,312520,
Garukhan's Flight,303420,
The Utmost,302520,
Tukohama's Fortress,294580,
Entropic Devastation,269580,
Cloak of Tawm'r Isley,254100,
Arakaali's Fang,232540,
Martyr of Innocence,225780,
Song of the Sirens,223900,
Zerphi's Last Breath,212820,
Replica Alberon's Warpath,206620,
Replica Maloney's Mechanism,183580,
Replica Trypanon,158360,
Gruthkul's Pelt,149260,
Dialla's Malefaction,144920,
Ralakesh's Impatience,140700,
Skyforth,139540,
Infused Beachhead,135460,
Wraithlord,132620,
Eyes of the Greatwolf,131520,
The Dark Seer,125000,
Ryslatha's Coil,125000,
The Vinktar Square,123980,
Shade of Solaris,117820,
Void Battery,113460,
Rigwald's Quills,113460,
The Brass Dome,113460,
Light of Lunaris,111060,
Sin's Rebirth,107820,
Soul Ripper,107820,
Seven-League Step,106940,
Warrior's Legacy,106940,
Astral Projector,106940,
Replica Pillars of Arun,103820,
Aegis Aurora,100800,
The Tides of Time,100800,
Atziri's Splendour,97860,
Doryani's Machinarium,97860,
Shroud of the Lightless,95020,
Voll's Devotion,92240,
Shavronne's Revelation,92240,
Windripper,92240,
Magna Eclipsis,92240,
Doryani's Fist,89560,
Indigon,89560,
Farrul's Fur,89560,
Farrul's Chase,89560,
The Red Nightmare,87680,
The Green Nightmare,87680,
The Blue Nightmare,87680,
Rational Doctrine,87680,
Kaom's Heart,86960,
Rathpith Globe,86960,
Prism Guardian,86960,
Broken Faith,86960,
Cospri's Malice,86960,
Inpulsa's Broken Heart,86960,
Hand of Wisdom and Action,86960,
The Red Trail,86960,
Doryani's Delusion,86960,
The Queen's Hunger,86960,
Maloney's Mechanism,86960,
Brutal Restraint,86960,
Badge of the Brotherhood,86960,
The Immortal Will,86960,
Replica Kaom's Heart,86960,
Replica Red Trail,86960,
Viridi's Veil,86960,
Doppelgänger Guise,86960,
Grace of the Goddess,86960,
Thunderfist,84420,
Steppan Eard,84420,
Heretic's Veil,84420,
Machina Mitts,84420,
Sporeguard,84420,
Doryani's Prototype,84420,
Progenesis,82640,
Paradoxica,81960,
The Yielding Mortality,81960,
Replica Paradoxica,81960,
Replica Allure,81960,
Hyrri's Ire,79580,
The Formless Inferno,79580,
The Perfect Form,79580,
Doedre's Skin,79580,
The Eternity Shroud,79580,
Replica Perfect Form,79580,
Replica Hyrri's Ire,79580,
Varunastra,77260,
Uul-Netol's Embrace,77260,
The Surrender,77260,
Disintegrator,77260,
Loreweave,77260,
